comune,n_tot,ROSSO,GIALLO,VERDE,BIANCO,pct_rosso,pct_giallo,pct_verde,pct_bianco,severity_raw,severity_mean,severity_per_100_calls,severity_tier,sample_flag
Calvi,156,34,66,45,11,0.21794871794871795,0.4230769230769231,0.28846153846153844,0.07051282051282051,637,4.083333333333333,408.3333333333333,ALTA,
Sassinoro,164,37,62,54,11,0.22560975609756098,0.3780487804878049,0.32926829268292684,0.06707317073170732,663,4.0426829268292686,404.26829268292687,ALTA,
Melizzano,44,10,14,17,3,0.22727272727272727,0.3181818181818182,0.38636363636363635,0.06818181818181818,173,3.9318181818181817,393.1818181818182,ALTA,SMALL_SAMPLE
Campoli Del Monte Taburno,225,40,95,69,21,0.17777777777777778,0.4222222222222222,0.30666666666666664,0.09333333333333334,859,3.8177777777777777,381.77777777777777,ALTA,
Castelfranco In Miscano,205,19,56,96,34,0.09268292682926829,0.2731707317073171,0.4682926829268293,0.16585365853658537,602,2.9365853658536585,293.6585365853658,BASSA,
Benevento,322,29,84,163,46,0.09006211180124224,0.2608695652173913,0.5062111801242236,0.14285714285714285,940,2.919254658385093,291.9254658385093,BASSA,
Moiano,61,7,14,26,14,0.11475409836065574,0.22950819672131148,0.4262295081967213,0.22950819672131148,178,2.918032786885246,291.8032786885246,BASSA,
Bucciano,227,19,67,101,40,0.08370044052863436,0.29515418502202645,0.44493392070484583,0.1762114537444934,662,2.9162995594713657,291.6299559471366,BASSA,
Pesco Sannita,292,25,77,146,44,0.08561643835616438,0.2636986301369863,0.5,0.1506849315068493,844,2.8904109589041096,289.041095890411,BASSA,
Pontelandolfo,130,11,35,63,21,0.08461538461538462,0.2692307692307692,0.4846153846153846,0.16153846153846155,375,2.8846153846153846,288.46153846153845,BASSA,
Castelvenere,202,17,53,97,35,0.08415841584158416,0.2623762376237624,0.4801980198019802,0.17326732673267325,577,2.8564356435643563,285.6435643564356,BASSA,
Casalduni,301,30,58,170,43,0.09966777408637874,0.19269102990033224,0.5647840531561462,0.14285714285714285,855,2.840531561461794,284.0531561461794,BASSA,
San Lupo,329,26,83,174,46,0.0790273556231003,0.25227963525835867,0.5288753799392097,0.1398176291793313,934,2.838905775075988,283.8905775075988,BASSA,
Durazzano,210,19,50,103,38,0.09047619047619047,0.23809523809523808,0.49047619047619045,0.18095238095238095,596,2.8380952380952382,283.8095238095238,BASSA,
Castelvetere In Val Fortore,251,23,59,120,49,0.09163346613545817,0.2350597609561753,0.47808764940239046,0.1952191235059761,709,2.8247011952191237,282.47011952191235,BASSA,
San Giorgio Del Sannio,238,24,44,133,37,0.10084033613445378,0.18487394957983194,0.5588235294117647,0.15546218487394958,671,2.819327731092437,281.9327731092437,BASSA,
Pietraroja,90,10,15,48,17,0.1111111111111111,0.16666666666666666,0.5333333333333333,0.18888888888888888,253,2.811111111111111,281.1111111111111,BASSA,
Torrecuso,360,31,84,181,64,0.08611111111111111,0.23333333333333334,0.5027777777777778,0.17777777777777778,1010,2.8055555555555554,280.55555555555554,BASSA,
Airola,116,14,16,63,23,0.1206896551724138,0.13793103448275862,0.5431034482758621,0.19827586206896552,325,2.8017241379310347,280.1724137931035,BASSA,
Limatola,198,14,52,98,34,0.0707070707070707,0.26262626262626265,0.494949494949495,0.1717171717171717,550,2.7777777777777777,277.77777777777777,BASSA,
Vitulano,514,37,122,275,80,0.07198443579766536,0.23735408560311283,0.5350194552529183,0.1556420233463035,1414,2.7509727626459144,275.0972762645914,BASSA,
Dugenta,665,43,172,341,109,0.06466165413533835,0.2586466165413534,0.512781954887218,0.16390977443609023,1823,2.7413533834586468,274.1353383458647,BASSA,
Sant'Agata De' Goti,767,50,193,385,139,0.0651890482398957,0.2516297262059974,0.5019556714471969,0.18122555410691005,2081,2.713168187744459,271.3168187744459,BASSA,
Sant'Angelo A Cupolo,97,7,17,56,17,0.07216494845360824,0.17525773195876287,0.5773195876288659,0.17525773195876287,253,2.6082474226804124,260.82474226804123,BASSA,
Pannarano,206,9,42,114,41,0.043689320388349516,0.20388349514563106,0.5533980582524272,0.19902912621359223,509,2.470873786407767,247.0873786407767,BASSA,
Buonalbergo,58,12,18,25,3,0.20689655172413793,0.3103448275862069,0.43103448275862066,0.05172413793103448,221,3.810344827586207,381.0344827586207,MEDIA,
Apollosa,216,39,78,87,12,0.18055555555555555,0.3611111111111111,0.4027777777777778,0.05555555555555555,810,3.75,375.0,MEDIA,
San Leucio Del Sannio,27,5,9,11,2,0.18518518518518517,0.3333333333333333,0.4074074074074074,0.07407407407407407,100,3.7037037037037037,370.3703703703704,MEDIA,SMALL_SAMPLE
Guardia Sanframondi,544,94,209,182,59,0.17279411764705882,0.38419117647058826,0.33455882352941174,0.10845588235294118,2011,3.6966911764705883,369.66911764705884,MEDIA,
Fragneto Monforte,110,20,36,45,9,0.18181818181818182,0.32727272727272727,0.4090909090909091,0.08181818181818182,403,3.6636363636363636,366.3636363636364,MEDIA,
Reino,73,12,27,27,7,0.1643835616438356,0.3698630136986301,0.3698630136986301,0.0958904109589041,265,3.6301369863013697,363.01369863013696,MEDIA,
Montefalcone Di Val Fortore,474,84,155,182,53,0.17721518987341772,0.3270042194092827,0.38396624472573837,0.11181434599156118,1709,3.6054852320675104,360.54852320675104,MEDIA,
San Bartolomeo In Galdo,174,31,56,68,19,0.1781609195402299,0.3218390804597701,0.39080459770114945,0.10919540229885058,627,3.603448275862069,360.3448275862069,MEDIA,
Tocco Caudio,453,73,165,167,48,0.16114790286975716,0.36423841059602646,0.3686534216335541,0.10596026490066225,1626,3.589403973509934,358.9403973509934,MEDIA,
Pietrelcina,341,60,107,141,33,0.17595307917888564,0.31378299120234604,0.41348973607038125,0.0967741935483871,1223,3.5865102639296187,358.65102639296185,MEDIA,
Puglianello,42,6,17,15,4,0.14285714285714285,0.40476190476190477,0.35714285714285715,0.09523809523809523,150,3.5714285714285716,357.14285714285717,MEDIA,SMALL_SAMPLE
Apice,393,67,133,136,57,0.17048346055979643,0.3384223918575064,0.3460559796437659,0.1450381679389313,1397,3.55470737913486,355.470737913486,MEDIA,
San Lorenzo Maggiore,392,57,149,155,31,0.14540816326530612,0.38010204081632654,0.39540816326530615,0.07908163265306123,1393,3.5535714285714284,355.35714285714283,MEDIA,
Arpaia,65,10,24,23,8,0.15384615384615385,0.36923076923076925,0.35384615384615387,0.12307692307692308,230,3.5384615384615383,353.8461538461538,MEDIA,
Frasso Telesino,197,31,67,82,17,0.15736040609137056,0.3401015228426396,0.41624365482233505,0.08629441624365482,697,3.5380710659898478,353.8071065989848,MEDIA,
Ponte,301,45,112,112,32,0.14950166112956811,0.37209302325581395,0.37209302325581395,0.10631229235880399,1064,3.5348837209302326,353.48837209302326,MEDIA,
Sant'Arcangelo Trimonte,325,51,112,129,33,0.15692307692307692,0.3446153846153846,0.39692307692307693,0.10153846153846154,1147,3.5292307692307694,352.92307692307696,MEDIA,
Castelpoto,210,27,87,79,17,0.12857142857142856,0.4142857142857143,0.3761904761904762,0.08095238095238096,739,3.519047619047619,351.9047619047619,MEDIA,
Forchia,361,57,119,153,32,0.15789473684210525,0.3296398891966759,0.42382271468144045,0.0886426592797784,1270,3.518005540166205,351.80055401662054,MEDIA,
San Giorgio La Molara,419,59,162,150,48,0.14081145584725538,0.38663484486873506,0.35799522673031026,0.11455847255369929,1468,3.503579952267303,350.3579952267303,MEDIA,
Foiano Di Val Fortore,130,21,40,53,16,0.16153846153846155,0.3076923076923077,0.4076923076923077,0.12307692307692308,450,3.4615384615384617,346.1538461538462,MEDIA,
San Martino Sannita,444,67,146,181,50,0.15090090090090091,0.32882882882882886,0.40765765765765766,0.11261261261261261,1532,3.4504504504504503,345.045045045045,MEDIA,
Paduli,596,86,206,240,64,0.14429530201342283,0.34563758389261745,0.40268456375838924,0.10738255033557047,2056,3.4496644295302015,344.96644295302013,MEDIA,
San Lorenzello,272,35,102,111,24,0.12867647058823528,0.375,0.40808823529411764,0.08823529411764706,934,3.4338235294117645,343.38235294117646,MEDIA,
Campolattaro,895,128,300,364,103,0.1430167597765363,0.33519553072625696,0.40670391061452515,0.11508379888268157,3055,3.4134078212290504,341.340782122905,MEDIA,
Circello,460,58,165,200,37,0.12608695652173912,0.358695652173913,0.43478260869565216,0.08043478260869565,1561,3.393478260869565,339.3478260869565,MEDIA,
Solopaca,170,20,65,69,16,0.11764705882352941,0.38235294117647056,0.40588235294117647,0.09411764705882353,574,3.376470588235294,337.6470588235294,MEDIA,
Colle Sannita,204,23,77,88,16,0.11274509803921569,0.37745098039215685,0.43137254901960786,0.0784313725490196,684,3.3529411764705883,335.29411764705884,MEDIA,
San Nazzaro,122,15,45,44,18,0.12295081967213115,0.36885245901639346,0.36065573770491804,0.14754098360655737,406,3.3278688524590163,332.78688524590166,MEDIA,
Telese Terme,235,27,86,99,23,0.1148936170212766,0.3659574468085106,0.42127659574468085,0.09787234042553192,781,3.323404255319149,332.3404255319149,MEDIA,
Ginestra Degli Schiavoni,246,26,93,102,25,0.10569105691056911,0.3780487804878049,0.4146341463414634,0.1016260162601626,809,3.2886178861788617,328.8617886178862,MEDIA,
Foglianise,271,35,89,108,39,0.12915129151291513,0.3284132841328413,0.3985239852398524,0.14391143911439114,891,3.2878228782287824,328.78228782287823,MEDIA,
Faicchio,138,13,48,63,14,0.09420289855072464,0.34782608695652173,0.45652173913043476,0.10144927536231885,436,3.1594202898550723,315.94202898550725,MEDIA,
Castelpagano,7,1,0,4,2,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,18,2.5714285714285716,257.14285714285717,MEDIA,SMALL_SAMPLE
