origin_comune,dest_comune,distance_km,travel_time_min
Comune_13,Comune_14,29.657,51.93
Comune_13,Comune_15,8.276,12.59
Comune_13,Comune_16,63.609,107.83
Comune_13,Comune_17,39.532,55.35
Comune_13,Comune_18,8.314,15.57
Comune_13,Comune_19,52.301,83.73
Comune_13,Comune_20,32.902,59.22
Comune_14,Comune_01,11.447,14.23
Comune_14,Comune_02,77.045,109.41
Comune_14,Comune_03,40.245,68.39
Comune_14,Comune_04,58.858,80.68
Comune_14,Comune_05,90.361,155.81
Comune_14,Comune_06,52.713,85.9
Comune_14,Comune_07,38.945,77.43
Comune_14,Comune_08,25.301,43.13
Comune_14,Comune_09,25.277,42.02
Comune_14,Comune_10,38.612,63.82
Comune_14,Comune_11,60.078,108.65
Comune_14,Comune_12,65.644,111.36
Comune_14,Comune_13,29.657,51.93
Comune_14,Comune_14,0.0,0.0
Comune_14,Comune_15,22.298,44.28
Comune_14,Comune_16,82.078,133.45
Comune_14,Comune_17,29.983,36.87
Comune_14,Comune_18,37.528,66.77
Comune_14,Comune_19,77.47,161.28
Comune_14,Comune_20,19.015,33.92
Comune_15,Comune_01,28.749,48.21
Comune_15,Comune_02,69.362,112.45
Comune_15,Comune_03,18.313,32.0
Comune_15,Comune_04,42.223,72.67
Comune_15,Comune_05,79.15,135.13
Comune_15,Comune_06,30.936,50.31
Comune_15,Comune_07,23.88,33.68
Comune_15,Comune_08,40.44,75.3
Comune_15,Comune_09,28.069,50.15
Comune_15,Comune_10,21.051,36.27
Comune_15,Comune_11,37.825,66.94
Comune_15,Comune_12,47.286,71.31
Comune_15,Comune_13,8.276,12.59
Comune_15,Comune_14,22.298,44.28
Comune_15,Comune_15,0.0,0.0
Comune_15,Comune_16,70.316,112.51
Comune_15,Comune_17,37.825,58.82
Comune_15,Comune_18,15.353,25.3
Comune_15,Comune_19,60.286,99.38
Comune_15,Comune_20,24.85,36.21
Comune_16,Comune_01,77.288,122.35
Comune_16,Comune_02,15.464,23.74
Comune_16,Comune_03,69.857,121.0
Comune_16,Comune_04,31.31,52.96
Comune_16,Comune_05,8.924,14.99
Comune_16,Comune_06,72.706,132.18
Comune_16,Comune_07,46.437,77.69
Comune_16,Comune_08,74.94,122.81
Comune_16,Comune_09,59.117,99.46
Comune_16,Comune_10,49.866,74.74
Comune_16,Comune_11,61.647,116.09
Comune_16,Comune_12,33.221,56.74
Comune_16,Comune_13,63.609,107.83
Comune_16,Comune_14,82.078,133.45
Comune_16,Comune_15,70.316,112.51
Comune_16,Comune_16,0.0,0.0
Comune_16,Comune_17,62.26,113.35
Comune_16,Comune_18,63.069,96.36
Comune_16,Comune_19,24.403,37.65
Comune_16,Comune_20,94.221,179.85
Comune_17,Comune_01,19.769,33.35
Comune_17,Comune_02,53.1,94.8
Comune_17,Comune_03,53.603,87.36
Comune_17,Comune_04,49.709,90.14
Comune_17,Comune_05,69.235,105.84
Comune_17,Comune_06,65.403,115.46
Comune_17,Comune_07,34.174,56.98
Comune_17,Comune_08,12.685,20.0
Comune_17,Comune_09,10.433,15.74
Comune_17,Comune_10,37.701,70.68
Comune_17,Comune_11,66.492,100.57
Comune_17,Comune_12,58.427,83.17
Comune_17,Comune_13,39.532,55.35
Comune_17,Comune_14,29.983,36.87
Comune_17,Comune_15,37.825,58.82
Comune_17,Comune_16,62.26,113.35
Comune_17,Comune_17,0.0,0.0
Comune_17,Comune_18,47.056,66.75
Comune_17,Comune_19,66.357,100.0
Comune_17,Comune_20,48.598,74.28
Comune_18,Comune_01,42.653,73.55
Comune_18,Comune_02,65.41,122.93
Comune_18,Comune_03,7.815,12.36
Comune_18,Comune_04,32.385,57.9
Comune_18,Comune_05,71.982,116.55
Comune_18,Comune_06,18.354,29.37
Comune_18,Comune_07,19.794,35.27
Comune_18,Comune_08,52.636,99.95
Comune_18,Comune_09,36.625,59.17
Comune_18,Comune_10,14.799,26.4
Comune_18,Comune_11,22.565,40.94
Comune_18,Comune_12,35.256,56.27
Comune_18,Comune_13,8.314,15.57
Comune_18,Comune_14,37.528,66.77
Comune_18,Comune_15,15.353,25.3
Comune_18,Comune_16,63.069,96.36
Comune_18,Comune_17,47.056,66.75
Comune_18,Comune_18,0.0,0.0
Comune_18,Comune_19,48.804,93.27
Comune_18,Comune_20,38.166,64.88
Comune_19,Comune_01,76.092,127.94
Comune_19,Comune_02,37.166,58.12
Comune_19,Comune_03,53.97,81.78
Comune_19,Comune_04,18.612,33.57
Comune_19,Comune_05,31.123,55.79
Comune_19,Comune_06,53.401,90.08
Comune_19,Comune_07,38.525,49.77
Comune_19,Comune_08,78.164,128.38
Comune_19,Comune_09,59.621,108.65
Comune_19,Comune_10,39.562,65.49
Comune_19,Comune_11,40.534,63.54
Comune_19,Comune_12,13.601,20.72
Comune_19,Comune_13,52.301,83.73
Comune_19,Comune_14,77.47,161.28
Comune_19,Comune_15,60.286,99.38
Comune_19,Comune_16,24.403,37.65
Comune_19,Comune_17,66.357,100.0
Comune_19,Comune_18,48.804,93.27
Comune_19,Comune_19,0.0,0.0
Comune_19,Comune_20,85.132,137.05
Comune_20,Comune_01,30.419,51.27
Comune_20,Comune_02,91.544,141.23
Comune_20,Comune_03,37.027,60.22
Comune_20,Comune_04,67.038,99.75
Comune_20,Comune_05,102.922,168.02
Comune_20,Comune_06,47.557,75.36
Comune_20,Comune_07,48.14,79.04
Comune_20,Comune_08,44.162,75.54
Comune_20,Comune_09,42.338,79.3
Comune_20,Comune_10,45.818,75.74
Comune_20,Comune_11,58.577,96.83
Comune_20,Comune_12,72.059,141.62
Comune_20,Comune_13,32.902,59.22
Comune_20,Comune_14,19.015,33.92
Comune_20,Comune_15,24.85,36.21
Comune_20,Comune_16,94.221,179.85
Comune_20,Comune_17,48.598,74.28
Comune_20,Comune_18,38.166,64.88
Comune_20,Comune_19,85.132,137.05
Comune_20,Comune_20,0.0,0.0
