site_id,comune,tempo_viaggio_min,tipo
S09,Comune_09,49.67,AMB_ILS
S09,Comune_10,86.89,AMB_ILS
S09,Comune_11,147.68,AMB_ILS
S09,Comune_12,104.75,AMB_ILS
S09,Comune_13,97.51,AMB_ILS
S09,Comune_14,76.34,AMB_ILS
S09,Comune_15,66.92,AMB_ILS
S09,Comune_16,117.12,AMB_ILS
S09,Comune_17,30.31,AMB_ILS
S09,Comune_18,112.57,AMB_ILS
S09,Comune_19,130.01,AMB_ILS
S09,Comune_20,100.34,AMB_ILS
S10,Comune_01,78.64,AMB_ILS
S10,Comune_02,39.8,AMB_ILS
S10,Comune_03,72.2,AMB_ILS
S10,Comune_04,20.47,AMB_ILS
S10,Comune_05,41.92,AMB_ILS
S10,Comune_06,84.0,AMB_ILS
S10,Comune_07,42.6,AMB_ILS
S10,Comune_08,93.87,AMB_ILS
S10,Comune_09,64.81,AMB_ILS
S10,Comune_10,57.27,AMB_ILS
S10,Comune_11,77.74,AMB_ILS
S10,Comune_12,23.93,AMB_ILS
S10,Comune_13,66.5,AMB_ILS
S10,Comune_14,108.53,AMB_ILS
S10,Comune_15,73.82,AMB_ILS
S10,Comune_16,36.2,AMB_ILS
S10,Comune_17,81.12,AMB_ILS
S10,Comune_18,73.6,AMB_ILS
S10,Comune_19,37.83,AMB_ILS
S10,Comune_20,98.43,AMB_ILS
S11,Comune_01,108.48,AMB_ALS
S11,Comune_02,153.85,AMB_ALS
S11,Comune_03,19.54,AMB_ALS
S11,Comune_04,76.08,AMB_ALS
S11,Comune_05,143.39,AMB_ALS
S11,Comune_06,20.88,AMB_ALS
S11,Comune_07,77.68,AMB_ALS
S11,Comune_08,130.79,AMB_ALS
S11,Comune_09,99.05,AMB_ALS
S11,Comune_10,62.06,AMB_ALS
S11,Comune_11,46.63,AMB_ALS
S11,Comune_12,90.14,AMB_ALS
S11,Comune_13,48.64,AMB_ALS
S11,Comune_14,91.31,AMB_ALS
S11,Comune_15,55.84,AMB_ALS
S11,Comune_16,136.45,AMB_ALS
S11,Comune_17,121.46,AMB_ALS
S11,Comune_18,33.46,AMB_ALS
S11,Comune_19,100.05,AMB_ALS
S11,Comune_20,66.23,AMB_ALS
S12,Comune_01,68.0,AMB_ILS
S12,Comune_02,117.74,AMB_ILS
S12,Comune_03,9.92,AMB_ILS
S12,Comune_04,61.86,AMB_ILS
S12,Comune_05,121.05,AMB_ILS
S12,Comune_06,35.27,AMB_ILS
S12,Comune_07,28.47,AMB_ILS
S12,Comune_08,85.49,AMB_ILS
S12,Comune_09,58.86,AMB_ILS
S12,Comune_10,29.38,AMB_ILS
S12,Comune_11,40.38,AMB_ILS
S12,Comune_12,64.93,AMB_ILS
S12,Comune_13,12.46,AMB_ILS
S12,Comune_14,63.86,AMB_ILS
S12,Comune_15,21.9,AMB_ILS
S12,Comune_16,100.04,AMB_ILS
S12,Comune_17,77.45,AMB_ILS
S12,Comune_18,3.81,AMB_ILS
S12,Comune_19,86.14,AMB_ILS
S12,Comune_20,55.71,AMB_ILS
