comune,fascia_oraria,codice_invio,chiamate
Comune_01,18,BIANCO,11
Comune_01,18,GIALLO,94
Comune_01,18,ROSSO,43
Comune_01,18,VERDE,166
Comune_01,19,BIANCO,14
Comune_01,19,GIALLO,72
Comune_01,19,ROSSO,37
Comune_01,19,VERDE,103
Comune_01,20,BIANCO,9
Comune_01,20,GIALLO,74
Comune_01,20,ROSSO,24
Comune_01,20,VERDE,106
Comune_01,21,BIANCO,7
Comune_01,21,GIALLO,49
Comune_01,21,ROSSO,35
Comune_01,21,VERDE,107
Comune_01,22,BIANCO,9
Comune_01,22,GIALLO,46
Comune_01,22,ROSSO,14
Comune_01,22,VERDE,59
Comune_01,23,BIANCO,9
Comune_01,23,GIALLO,38
Comune_01,23,ROSSO,12
Comune_01,23,VERDE,49
Comune_02,0,BIANCO,7
Comune_02,0,GIALLO,82
Comune_02,0,ROSSO,20
Comune_02,0,VERDE,124
Comune_02,1,BIANCO,8
Comune_02,1,GIALLO,86
Comune_02,1,ROSSO,16
Comune_02,1,VERDE,108
Comune_02,2,BIANCO,9
Comune_02,2,GIALLO,77
Comune_02,2,ROSSO,19
Comune_02,2,VERDE,102
Comune_02,3,BIANCO,6
Comune_02,3,GIALLO,58
Comune_02,3,ROSSO,35
Comune_02,3,VERDE,101
Comune_02,4,BIANCO,11
Comune_02,4,GIALLO,76
Comune_02,4,ROSSO,26
Comune_02,4,VERDE,111
Comune_02,5,BIANCO,8
Comune_02,5,GIALLO,91
Comune_02,5,ROSSO,31
Comune_02,5,VERDE,130
Comune_02,6,BIANCO,25
Comune_02,6,GIALLO,119
Comune_02,6,ROSSO,66
Comune_02,6,VERDE,189
Comune_02,7,BIANCO,31
Comune_02,7,GIALLO,192
Comune_02,7,ROSSO,58
Comune_02,7,VERDE,267
Comune_02,8,BIANCO,22
Comune_02,8,GIALLO,210
Comune_02,8,ROSSO,91
Comune_02,8,VERDE,353
Comune_02,9,BIANCO,38
Comune_02,9,GIALLO,277
Comune_02,9,ROSSO,95
Comune_02,9,VERDE,414
Comune_02,10,BIANCO,30
Comune_02,10,GIALLO,251
Comune_02,10,ROSSO,87
Comune_02,10,VERDE,351
Comune_02,11,BIANCO,39
Comune_02,11,GIALLO,223
Comune_02,11,ROSSO,85
Comune_02,11,VERDE,339
Comune_02,12,BIANCO,31
Comune_02,12,GIALLO,224
Comune_02,12,ROSSO,85
Comune_02,12,VERDE,345
Comune_02,13,BIANCO,28
Comune_02,13,GIALLO,197
Comune_02,13,ROSSO,78
Comune_02,13,VERDE,330
Comune_02,14,BIANCO,33
Comune_02,14,GIALLO,249
Comune_02,14,ROSSO,62
Comune_02,14,VERDE,337
Comune_02,15,BIANCO,45
Comune_02,15,GIALLO,236
Comune_02,15,ROSSO,105
Comune_02,15,VERDE,381
Comune_02,16,BIANCO,47
Comune_02,16,GIALLO,271
Comune_02,16,ROSSO,116
Comune_02,16,VERDE,461
Comune_02,17,BIANCO,53
Comune_02,17,GIALLO,289
Comune_02,17,ROSSO,104
Comune_02,17,VERDE,424
Comune_02,18,BIANCO,50
Comune_02,18,GIALLO,336
Comune_02,18,ROSSO,129
Comune_02,18,VERDE,490
Comune_02,19,BIANCO,47
Comune_02,19,GIALLO,297
Comune_02,19,ROSSO,129
Comune_02,19,VERDE,455
Comune_02,20,BIANCO,42
Comune_02,20,GIALLO,244
Comune_02,20,ROSSO,103
Comune_02,20,VERDE,395
Comune_02,21,BIANCO,32
Comune_02,21,GIALLO,195
Comune_02,21,ROSSO,64
Comune_02,21,VERDE,287
Comune_02,22,BIANCO,17
Comune_02,22,GIALLO,158
Comune_02,22,ROSSO,37
Comune_02,22,VERDE,206
Comune_02,23,BIANCO,15
Comune_02,23,GIALLO,103
Comune_02,23,ROSSO,34
Comune_02,23,VERDE,152
Comune_03,0,BIANCO,3
Comune_03,0,GIALLO,3
Comune_03,0,ROSSO,2
Comune_03,0,VERDE,15
Comune_03,1,GIALLO,8
Comune_03,1,ROSSO,1
Comune_03,1,VERDE,17
Comune_03,2,BIANCO,3
Comune_03,2,GIALLO,1
Comune_03,2,ROSSO,1
Comune_03,2,VERDE,8
Comune_03,3,GIALLO,7
Comune_03,3,ROSSO,3
Comune_03,3,VERDE,11
Comune_03,4,GIALLO,8
Comune_03,4,ROSSO,4
Comune_03,4,VERDE,10
Comune_03,5,BIANCO,1
Comune_03,5,GIALLO,9
Comune_03,5,ROSSO,4
Comune_03,5,VERDE,14
Comune_03,6,BIANCO,1
Comune_03,6,GIALLO,13
Comune_03,6,ROSSO,3
Comune_03,6,VERDE,18
Comune_03,7,BIANCO,2
Comune_03,7,GIALLO,20
Comune_03,7,ROSSO,7
Comune_03,7,VERDE,25
Comune_03,8,BIANCO,3
Comune_03,8,GIALLO,25
Comune_03,8,ROSSO,6
Comune_03,8,VERDE,30
Comune_03,9,BIANCO,5
Comune_03,9,GIALLO,25
Comune_03,9,ROSSO,6
Comune_03,9,VERDE,36
Comune_03,10,BIANCO,5
Comune_03,10,GIALLO,28
Comune_03,10,ROSSO,13
Comune_03,10,VERDE,37
Comune_03,11,BIANCO,4
Comune_03,11,GIALLO,24
Comune_03,11,ROSSO,6
Comune_03,11,VERDE,36
Comune_03,12,BIANCO,3
Comune_03,12,GIALLO,20
Comune_03,12,ROSSO,5
Comune_03,12,VERDE,33
Comune_03,13,BIANCO,4
Comune_03,13,GIALLO,22
Comune_03,13,ROSSO,8
Comune_03,13,VERDE,37
Comune_03,14,BIANCO,3
Comune_03,14,GIALLO,26
Comune_03,14,ROSSO,9
Comune_03,14,VERDE,40
Comune_03,15,BIANCO,8
Comune_03,15,GIALLO,29
Comune_03,15,ROSSO,3
Comune_03,15,VERDE,49
Comune_03,16,BIANCO,3
Comune_03,16,GIALLO,34
Comune_03,16,ROSSO,17
Comune_03,16,VERDE,43
Comune_03,17,BIANCO,7
Comune_03,17,GIALLO,53
Comune_03,17,ROSSO,16
Comune_03,17,VERDE,40
Comune_03,18,BIANCO,5
Comune_03,18,GIALLO,23
Comune_03,18,ROSSO,18
Comune_03,18,VERDE,52
Comune_03,19,BIANCO,7
Comune_03,19,GIALLO,30
Comune_03,19,ROSSO,17
Comune_03,19,VERDE,48
Comune_03,20,BIANCO,1
Comune_03,20,GIALLO,23
Comune_03,20,ROSSO,12
Comune_03,20,VERDE,34
Comune_03,21,BIANCO,4
Comune_03,21,GIALLO,15
Comune_03,21,ROSSO,5
Comune_03,21,VERDE,26
Comune_03,22,BIANCO,3
Comune_03,22,GIALLO,22
Comune_03,22,ROSSO,5
Comune_03,22,VERDE,15
Comune_03,23,BIANCO,3
Comune_03,23,GIALLO,9
Comune_03,23,ROSSO,3
Comune_03,23,VERDE,14
Comune_04,0,BIANCO,5
Comune_04,0,GIALLO,21
Comune_04,0,ROSSO,7
Comune_04,0,VERDE,37
Comune_04,1,BIANCO,3
Comune_04,1,GIALLO,20
Comune_04,1,ROSSO,4
Comune_04,1,VERDE,38
Comune_04,2,BIANCO,2
Comune_04,2,GIALLO,8
Comune_04,2,ROSSO,7
Comune_04,2,VERDE,28
Comune_04,3,BIANCO,1
Comune_04,3,GIALLO,19
Comune_04,3,ROSSO,5
Comune_04,3,VERDE,35
Comune_04,4,BIANCO,3
Comune_04,4,GIALLO,20
Comune_04,4,ROSSO,7
Comune_04,4,VERDE,37
Comune_04,5,BIANCO,6
Comune_04,5,GIALLO,24
Comune_04,5,ROSSO,6
Comune_04,5,VERDE,45
Comune_04,6,BIANCO,11
Comune_04,6,GIALLO,35
Comune_04,6,ROSSO,16
Comune_04,6,VERDE,67
Comune_04,7,BIANCO,8
Comune_04,7,GIALLO,51
Comune_04,7,ROSSO,14
Comune_04,7,VERDE,63
Comune_04,8,BIANCO,10
Comune_04,8,GIALLO,58
Comune_04,8,ROSSO,26
Comune_04,8,VERDE,125
Comune_04,9,BIANCO,5
Comune_04,9,GIALLO,80
Comune_04,9,ROSSO,27
Comune_04,9,VERDE,112
Comune_04,10,BIANCO,9
Comune_04,10,GIALLO,71
Comune_04,10,ROSSO,23
Comune_04,10,VERDE,103
Comune_04,11,BIANCO,11
Comune_04,11,GIALLO,63
Comune_04,11,ROSSO,26
Comune_04,11,VERDE,101
Comune_04,12,BIANCO,16
Comune_04,12,GIALLO,71
Comune_04,12,ROSSO,27
Comune_04,12,VERDE,92
Comune_04,13,BIANCO,10
Comune_04,13,GIALLO,52
Comune_04,13,ROSSO,27
Comune_04,13,VERDE,86
Comune_04,14,BIANCO,5
Comune_04,14,GIALLO,73
Comune_04,14,ROSSO,35
Comune_04,14,VERDE,79
Comune_04,15,BIANCO,13
Comune_04,15,GIALLO,77
Comune_04,15,ROSSO,23
Comune_04,15,VERDE,107
Comune_04,16,BIANCO,14
Comune_04,16,GIALLO,81
Comune_04,16,ROSSO,29
Comune_04,16,VERDE,133
Comune_04,17,BIANCO,15
Comune_04,17,GIALLO,86
Comune_04,17,ROSSO,38
Comune_04,17,VERDE,156
Comune_04,18,BIANCO,11
Comune_04,18,GIALLO,104
Comune_04,18,ROSSO,39
Comune_04,18,VERDE,127
Comune_04,19,BIANCO,9
Comune_04,19,GIALLO,104
Comune_04,19,ROSSO,40
Comune_04,19,VERDE,125
Comune_04,20,BIANCO,7
Comune_04,20,GIALLO,76
Comune_04,20,ROSSO,28
Comune_04,20,VERDE,122
Comune_04,21,BIANCO,5
Comune_04,21,GIALLO,55
Comune_04,21,ROSSO,20
Comune_04,21,VERDE,98
Comune_04,22,BIANCO,7
Comune_04,22,GIALLO,43
Comune_04,22,ROSSO,17
Comune_04,22,VERDE,59
Comune_04,23,BIANCO,5
Comune_04,23,GIALLO,31
Comune_04,23,ROSSO,9
Comune_04,23,VERDE,40
Comune_05,0,BIANCO,2
Comune_05,0,GIALLO,14
Comune_05,0,ROSSO,3
Comune_05,0,VERDE,21
Comune_05,1,BIANCO,3
Comune_05,1,GIALLO,9
Comune_05,1,ROSSO,6
Comune_05,1,VERDE,25
Comune_05,2,BIANCO,2
Comune_05,2,GIALLO,9
Comune_05,2,ROSSO,3
Comune_05,2,VERDE,22
Comune_05,3,BIANCO,3
Comune_05,3,GIALLO,7
Comune_05,3,ROSSO,10
Comune_05,3,VERDE,11
Comune_05,4,BIANCO,4
Comune_05,4,GIALLO,7
Comune_05,4,ROSSO,6
Comune_05,4,VERDE,21
Comune_05,5,BIANCO,2
Comune_05,5,GIALLO,12
Comune_05,5,ROSSO,4
Comune_05,5,VERDE,33
Comune_05,6,BIANCO,4
Comune_05,6,GIALLO,20
Comune_05,6,ROSSO,4
Comune_05,6,VERDE,32
Comune_05,7,GIALLO,21
Comune_05,7,ROSSO,11
Comune_05,7,VERDE,38
Comune_05,8,BIANCO,2
Comune_05,8,GIALLO,39
Comune_05,8,ROSSO,14
Comune_05,8,VERDE,61
Comune_05,9,BIANCO,3
Comune_05,9,GIALLO,42
Comune_05,9,ROSSO,14
Comune_05,9,VERDE,63
Comune_05,10,BIANCO,6
Comune_05,10,GIALLO,43
Comune_05,10,ROSSO,13
Comune_05,10,VERDE,42
Comune_05,11,BIANCO,5
Comune_05,11,GIALLO,34
Comune_05,11,ROSSO,14
Comune_05,11,VERDE,49
Comune_05,12,BIANCO,6
Comune_05,12,GIALLO,38
Comune_05,12,ROSSO,18
Comune_05,12,VERDE,50
Comune_05,13,BIANCO,11
Comune_05,13,GIALLO,35
Comune_05,13,ROSSO,8
Comune_05,13,VERDE,43
Comune_05,14,BIANCO,5
Comune_05,14,GIALLO,21
Comune_05,14,ROSSO,18
Comune_05,14,VERDE,46
Comune_05,15,BIANCO,8
Comune_05,15,GIALLO,42
Comune_05,15,ROSSO,14
Comune_05,15,VERDE,58
Comune_05,16,BIANCO,2
Comune_05,16,GIALLO,57
Comune_05,16,ROSSO,14
Comune_05,16,VERDE,71
Comune_05,17,BIANCO,11
Comune_05,17,GIALLO,61
Comune_05,17,ROSSO,17
Comune_05,17,VERDE,79
Comune_05,18,BIANCO,7
Comune_05,18,GIALLO,47
Comune_05,18,ROSSO,17
Comune_05,18,VERDE,73
Comune_05,19,BIANCO,8
Comune_05,19,GIALLO,51
Comune_05,19,ROSSO,16
Comune_05,19,VERDE,62
Comune_05,20,BIANCO,9
Comune_05,20,GIALLO,26
Comune_05,20,ROSSO,17
Comune_05,20,VERDE,63
Comune_05,21,BIANCO,2
Comune_05,21,GIALLO,38
Comune_05,21,ROSSO,10
Comune_05,21,VERDE,57
Comune_05,22,BIANCO,2
Comune_05,22,GIALLO,28
Comune_05,22,ROSSO,10
Comune_05,22,VERDE,35
Comune_05,23,BIANCO,2
Comune_05,23,GIALLO,11
Comune_05,23,ROSSO,6
Comune_05,23,VERDE,22
Comune_06,0,BIANCO,4
Comune_06,0,GIALLO,25
Comune_06,0,ROSSO,8
Comune_06,0,VERDE,33
Comune_06,1,BIANCO,3
Comune_06,1,GIALLO,17
Comune_06,1,ROSSO,7
Comune_06,1,VERDE,26
Comune_06,2,BIANCO,5
Comune_06,2,GIALLO,18
Comune_06,2,ROSSO,7
Comune_06,2,VERDE,31
Comune_06,3,BIANCO,3
Comune_06,3,GIALLO,8
Comune_06,3,ROSSO,5
Comune_06,3,VERDE,20
Comune_06,4,BIANCO,2
Comune_06,4,GIALLO,20
Comune_06,4,ROSSO,6
Comune_06,4,VERDE,25
Comune_06,5,BIANCO,2
Comune_06,5,GIALLO,25
Comune_06,5,ROSSO,10
Comune_06,5,VERDE,29
Comune_06,6,BIANCO,7
Comune_06,6,GIALLO,26
Comune_06,6,ROSSO,9
Comune_06,6,VERDE,36
Comune_06,7,BIANCO,6
Comune_06,7,GIALLO,40
Comune_06,7,ROSSO,15
Comune_06,7,VERDE,65
Comune_06,8,BIANCO,7
Comune_06,8,GIALLO,46
Comune_06,8,ROSSO,35
Comune_06,8,VERDE,91
Comune_06,9,BIANCO,11
Comune_06,9,GIALLO,65
Comune_06,9,ROSSO,18
Comune_06,9,VERDE,99
Comune_06,10,BIANCO,12
Comune_06,10,GIALLO,49
Comune_06,10,ROSSO,21
Comune_06,10,VERDE,91
Comune_06,11,BIANCO,12
Comune_06,11,GIALLO,77
Comune_06,11,ROSSO,17
Comune_06,11,VERDE,87
Comune_06,12,BIANCO,7
Comune_06,12,GIALLO,51
Comune_06,12,ROSSO,20
Comune_06,12,VERDE,96
Comune_06,13,BIANCO,10
Comune_06,13,GIALLO,50
Comune_06,13,ROSSO,22
Comune_06,13,VERDE,70
Comune_06,14,BIANCO,5
Comune_06,14,GIALLO,47
Comune_06,14,ROSSO,23
Comune_06,14,VERDE,76
Comune_06,15,BIANCO,10
Comune_06,15,GIALLO,62
Comune_06,15,ROSSO,28
Comune_06,15,VERDE,81
Comune_06,16,BIANCO,18
Comune_06,16,GIALLO,61
Comune_06,16,ROSSO,16
Comune_06,16,VERDE,101
Comune_06,17,BIANCO,14
Comune_06,17,GIALLO,72
Comune_06,17,ROSSO,33
Comune_06,17,VERDE,108
Comune_06,18,BIANCO,12
Comune_06,18,GIALLO,77
Comune_06,18,ROSSO,19
Comune_06,18,VERDE,112
Comune_06,19,BIANCO,11
Comune_06,19,GIALLO,82
Comune_06,19,ROSSO,21
Comune_06,19,VERDE,112
Comune_06,20,BIANCO,11
Comune_06,20,GIALLO,52
Comune_06,20,ROSSO,19
Comune_06,20,VERDE,88
Comune_06,21,BIANCO,8
Comune_06,21,GIALLO,43
Comune_06,21,ROSSO,20
Comune_06,21,VERDE,69
Comune_06,22,BIANCO,6
Comune_06,22,GIALLO,34
Comune_06,22,ROSSO,13
Comune_06,22,VERDE,45
Comune_06,23,BIANCO,6
Comune_06,23,GIALLO,17
Comune_06,23,ROSSO,8
Comune_06,23,VERDE,41
Comune_07,0,BIANCO,6
Comune_07,0,GIALLO,30
Comune_07,0,ROSSO,12
Comune_07,0,VERDE,41
Comune_07,1,BIANCO,5
Comune_07,1,GIALLO,27
Comune_07,1,ROSSO,10
Comune_07,1,VERDE,40
Comune_07,2,BIANCO,7
Comune_07,2,GIALLO,19
Comune_07,2,ROSSO,8
Comune_07,2,VERDE,46
Comune_07,3,BIANCO,2
Comune_07,3,GIALLO,22
Comune_07,3,ROSSO,5
Comune_07,3,VERDE,39
Comune_07,4,BIANCO,5
Comune_07,4,GIALLO,29
Comune_07,4,ROSSO,11
Comune_07,4,VERDE,36
Comune_07,5,BIANCO,8
Comune_07,5,GIALLO,26
Comune_07,5,ROSSO,21
Comune_07,5,VERDE,67
Comune_07,6,BIANCO,12
Comune_07,6,GIALLO,44
Comune_07,6,ROSSO,14
Comune_07,6,VERDE,78
Comune_07,7,BIANCO,15
Comune_07,7,GIALLO,61
Comune_07,7,ROSSO,16
Comune_07,7,VERDE,84
Comune_07,8,BIANCO,9
Comune_07,8,GIALLO,79
Comune_07,8,ROSSO,36
Comune_07,8,VERDE,131
Comune_07,9,BIANCO,10
Comune_07,9,GIALLO,94
Comune_07,9,ROSSO,38
Comune_07,9,VERDE,141
Comune_07,10,BIANCO,15
Comune_07,10,GIALLO,80
Comune_07,10,ROSSO,33
Comune_07,10,VERDE,134
Comune_07,11,BIANCO,11
Comune_07,11,GIALLO,80
Comune_07,11,ROSSO,30
Comune_07,11,VERDE,136
Comune_07,12,BIANCO,11
Comune_07,12,GIALLO,84
Comune_07,12,ROSSO,39
Comune_07,12,VERDE,117
Comune_07,13,BIANCO,16
Comune_07,13,GIALLO,76
Comune_07,13,ROSSO,31
Comune_07,13,VERDE,138
Comune_07,14,BIANCO,15
Comune_07,14,GIALLO,95
Comune_07,14,ROSSO,21
Comune_07,14,VERDE,127
Comune_07,15,BIANCO,7
Comune_07,15,GIALLO,103
Comune_07,15,ROSSO,41
Comune_07,15,VERDE,151
Comune_07,16,BIANCO,20
Comune_07,16,GIALLO,106
Comune_07,16,ROSSO,45
Comune_07,16,VERDE,152
Comune_07,17,BIANCO,10
Comune_07,17,GIALLO,121
Comune_07,17,ROSSO,39
Comune_07,17,VERDE,150
Comune_07,18,BIANCO,20
Comune_07,18,GIALLO,113
Comune_07,18,ROSSO,42
Comune_07,18,VERDE,154
Comune_07,19,BIANCO,23
Comune_07,19,GIALLO,92
Comune_07,19,ROSSO,46
Comune_07,19,VERDE,148
Comune_07,20,BIANCO,16
Comune_07,20,GIALLO,98
Comune_07,20,ROSSO,31
Comune_07,20,VERDE,152
Comune_07,21,BIANCO,8
Comune_07,21,GIALLO,71
Comune_07,21,ROSSO,29
Comune_07,21,VERDE,106
Comune_07,22,BIANCO,13
Comune_07,22,GIALLO,59
Comune_07,22,ROSSO,25
Comune_07,22,VERDE,89
Comune_07,23,BIANCO,6
Comune_07,23,GIALLO,40
Comune_07,23,ROSSO,20
Comune_07,23,VERDE,59
Comune_08,0,GIALLO,7
Comune_08,0,ROSSO,3
Comune_08,0,VERDE,15
Comune_08,1,GIALLO,10
Comune_08,1,ROSSO,1
Comune_08,1,VERDE,10
Comune_08,2,BIANCO,1
Comune_08,2,GIALLO,8
Comune_08,2,VERDE,18
Comune_08,3,BIANCO,1
Comune_08,3,GIALLO,10
Comune_08,3,ROSSO,3
Comune_08,3,VERDE,13
Comune_08,4,BIANCO,2
Comune_08,4,GIALLO,10
Comune_08,4,ROSSO,6
Comune_08,4,VERDE,11
Comune_08,5,BIANCO,3
Comune_08,5,GIALLO,10
Comune_08,5,ROSSO,4
Comune_08,5,VERDE,18
Comune_08,6,BIANCO,1
Comune_08,6,GIALLO,13
Comune_08,6,ROSSO,6
Comune_08,6,VERDE,24
Comune_08,7,BIANCO,2
Comune_08,7,GIALLO,18
Comune_08,7,ROSSO,7
Comune_08,7,VERDE,25
Comune_08,8,BIANCO,6
Comune_08,8,GIALLO,24
Comune_08,8,ROSSO,12
Comune_08,8,VERDE,56
Comune_08,9,BIANCO,10
Comune_08,9,GIALLO,36
Comune_08,9,ROSSO,10
Comune_08,9,VERDE,38
Comune_08,10,BIANCO,2
Comune_08,10,GIALLO,37
Comune_08,10,ROSSO,14
Comune_08,10,VERDE,48
Comune_08,11,BIANCO,3
Comune_08,11,GIALLO,26
Comune_08,11,ROSSO,13
Comune_08,11,VERDE,52
Comune_08,12,BIANCO,7
Comune_08,12,GIALLO,30
Comune_08,12,ROSSO,9
Comune_08,12,VERDE,38
Comune_08,13,BIANCO,4
Comune_08,13,GIALLO,29
Comune_08,13,ROSSO,12
Comune_08,13,VERDE,36
Comune_08,14,BIANCO,3
Comune_08,14,GIALLO,27
Comune_08,14,ROSSO,15
Comune_08,14,VERDE,49
Comune_08,15,BIANCO,2
Comune_08,15,GIALLO,27
Comune_08,15,ROSSO,11
Comune_08,15,VERDE,51
Comune_08,16,BIANCO,13
Comune_08,16,GIALLO,37
Comune_08,16,ROSSO,25
Comune_08,16,VERDE,63
Comune_08,17,BIANCO,5
Comune_08,17,GIALLO,55
Comune_08,17,ROSSO,12
Comune_08,17,VERDE,60
Comune_08,18,BIANCO,8
Comune_08,18,GIALLO,41
Comune_08,18,ROSSO,15
Comune_08,18,VERDE,61
Comune_08,19,BIANCO,2
Comune_08,19,GIALLO,44
Comune_08,19,ROSSO,20
Comune_08,19,VERDE,56
Comune_08,20,BIANCO,5
Comune_08,20,GIALLO,34
Comune_08,20,ROSSO,9
Comune_08,20,VERDE,46
Comune_08,21,BIANCO,4
Comune_08,21,GIALLO,23
Comune_08,21,ROSSO,10
Comune_08,21,VERDE,28
Comune_08,22,BIANCO,6
Comune_08,22,GIALLO,18
Comune_08,22,ROSSO,5
Comune_08,22,VERDE,37
Comune_08,23,BIANCO,1
Comune_08,23,GIALLO,11
Comune_08,23,ROSSO,7
Comune_08,23,VERDE,21
Comune_09,0,BIANCO,1
Comune_09,0,GIALLO,17
Comune_09,0,ROSSO,7
Comune_09,0,VERDE,27
Comune_09,1,BIANCO,4
Comune_09,1,GIALLO,23
Comune_09,1,ROSSO,8
Comune_09,1,VERDE,37
Comune_09,2,BIANCO,3
Comune_09,2,GIALLO,20
Comune_09,2,ROSSO,4
Comune_09,2,VERDE,26
Comune_09,3,BIANCO,2
Comune_09,3,GIALLO,20
Comune_09,3,ROSSO,11
Comune_09,3,VERDE,24
Comune_09,4,BIANCO,1
Comune_09,4,GIALLO,15
Comune_09,4,ROSSO,3
Comune_09,4,VERDE,24
Comune_09,5,BIANCO,5
Comune_09,5,GIALLO,22
Comune_09,5,ROSSO,5
Comune_09,5,VERDE,39
Comune_09,6,BIANCO,4
Comune_09,6,GIALLO,34
Comune_09,6,ROSSO,14
Comune_09,6,VERDE,43
Comune_09,7,BIANCO,7
Comune_09,7,GIALLO,42
Comune_09,7,ROSSO,16
Comune_09,7,VERDE,76
Comune_09,8,BIANCO,10
Comune_09,8,GIALLO,49
Comune_09,8,ROSSO,19
Comune_09,8,VERDE,100
Comune_09,9,BIANCO,12
Comune_09,9,GIALLO,66
Comune_09,9,ROSSO,23
Comune_09,9,VERDE,105
Comune_09,10,BIANCO,8
Comune_09,10,GIALLO,66
Comune_09,10,ROSSO,19
Comune_09,10,VERDE,96
Comune_09,11,BIANCO,8
Comune_09,11,GIALLO,50
Comune_09,11,ROSSO,21
Comune_09,11,VERDE,70
Comune_09,12,BIANCO,3
Comune_09,12,GIALLO,56
Comune_09,12,ROSSO,18
Comune_09,12,VERDE,83
Comune_09,13,BIANCO,6
Comune_09,13,GIALLO,58
Comune_09,13,ROSSO,19
Comune_09,13,VERDE,76
Comune_09,14,BIANCO,8
Comune_09,14,GIALLO,60
Comune_09,14,ROSSO,19
Comune_09,14,VERDE,94
Comune_09,15,BIANCO,11
Comune_09,15,GIALLO,64
Comune_09,15,ROSSO,25
Comune_09,15,VERDE,101
Comune_09,16,BIANCO,9
Comune_09,16,GIALLO,78
Comune_09,16,ROSSO,16
Comune_09,16,VERDE,105
Comune_09,17,BIANCO,7
Comune_09,17,GIALLO,61
Comune_09,17,ROSSO,22
Comune_09,17,VERDE,128
Comune_09,18,BIANCO,14
Comune_09,18,GIALLO,64
Comune_09,18,ROSSO,24
Comune_09,18,VERDE,112
Comune_09,19,BIANCO,7
Comune_09,19,GIALLO,76
Comune_09,19,ROSSO,24
Comune_09,19,VERDE,118
Comune_09,20,BIANCO,12
Comune_09,20,GIALLO,64
Comune_09,20,ROSSO,22
Comune_09,20,VERDE,89
Comune_09,21,BIANCO,6
Comune_09,21,GIALLO,54
Comune_09,21,ROSSO,19
Comune_09,21,VERDE,72
Comune_09,22,BIANCO,5
Comune_09,22,GIALLO,35
Comune_09,22,ROSSO,14
Comune_09,22,VERDE,46
Comune_09,23,BIANCO,6
Comune_09,23,GIALLO,22
Comune_09,23,ROSSO,5
Comune_09,23,VERDE,38
Comune_10,0,BIANCO,2
Comune_10,0,GIALLO,30
Comune_10,0,ROSSO,8
Comune_10,0,VERDE,29
Comune_10,1,BIANCO,1
Comune_10,1,GIALLO,16
Comune_10,1,ROSSO,9
Comune_10,1,VERDE,21
Comune_10,2,BIANCO,1
Comune_10,2,GIALLO,13
Comune_10,2,ROSSO,8
Comune_10,2,VERDE,22
Comune_10,3,GIALLO,12
Comune_10,3,ROSSO,9
Comune_10,3,VERDE,24
Comune_10,4,BIANCO,3
Comune_10,4,GIALLO,16
Comune_10,4,ROSSO,4
Comune_10,4,VERDE,20
Comune_10,5,BIANCO,8
Comune_10,5,GIALLO,21
Comune_10,5,ROSSO,5
Comune_10,5,VERDE,41
Comune_10,6,BIANCO,10
Comune_10,6,GIALLO,24
Comune_10,6,ROSSO,9
Comune_10,6,VERDE,40
Comune_10,7,BIANCO,4
Comune_10,7,GIALLO,57
